Run   obj.function   lambda        
1     -9.2910890000000002E-01  1.000000E+00  
2     -9.2889449999999996E-01  0.000000E+00  
3     -9.2977969999999999E-01  2.000000E+00  
4     -9.3024819999999997E-01  3.000000E+00  
5     -9.3024819999999997E-01  3.000000E+00  
6     -9.3009310000000001E-01  2.618034E+00  
7     -9.3019240000000003E-01  2.854102E+00  
8     -9.3022740000000004E-01  2.944272E+00  
9     -9.3024030000000002E-01  2.978714E+00  
10    -9.3024519999999999E-01  2.991869E+00  
11    -9.3024700000000005E-01  2.996894E+00  
12    -9.3024770000000001E-01  2.998814E+00  
13    -9.3024799999999996E-01  2.999547E+00  
14    -9.3024810000000002E-01  2.999827E+00  
15    -9.3024819999999997E-01  2.999934E+00  
16    -9.2910890000000002E-01  1.000000E+00  
17    -9.3024819999999997E-01  3.000000E+00  
18    -9.2977969999999999E-01  2.000000E+00  
19    -9.3024819999999997E-01  3.000000E+00  
20    -9.3009310000000001E-01  2.618034E+00  
21    -9.3019240000000003E-01  2.854102E+00  
22    -9.3022740000000004E-01  2.944272E+00  
23    -9.3024030000000002E-01  2.978714E+00  
24    -9.3024519999999999E-01  2.991869E+00  
25    -9.3024700000000005E-01  2.996894E+00  
26    -9.3024770000000001E-01  2.998814E+00  
27    -9.3024799999999996E-01  2.999547E+00  
28    -9.3024810000000002E-01  2.999827E+00  
29    -9.3024819999999997E-01  2.999934E+00  
30    -9.3024819999999997E-01  3.000000E+00  
31    -9.3024819999999997E-01  3.000000E+00  
32    -9.2977969999999999E-01  2.000000E+00  
33    -9.3024819999999997E-01  3.000000E+00  
34    -9.3009310000000001E-01  2.618034E+00  
35    -9.3019240000000003E-01  2.854102E+00  
36    -9.3022740000000004E-01  2.944272E+00  
37    -9.3024030000000002E-01  2.978714E+00  
38    -9.3024519999999999E-01  2.991869E+00  
39    -9.3024700000000005E-01  2.996894E+00  
40    -9.3024770000000001E-01  2.998814E+00  
41    -9.3024799999999996E-01  2.999547E+00  
42    -9.3024810000000002E-01  2.999827E+00  
43    -9.3024819999999997E-01  2.999934E+00  
44    -9.3024819999999997E-01  3.000000E+00  
45    -9.3024819999999997E-01  3.000000E+00  
46    -9.3024819999999997E-01  3.000000E+00  
47    -9.3024819999999997E-01  3.000000E+00  
48    -9.3024819999999997E-01  3.000000E+00  
49    -9.3024819999999997E-01  3.000000E+00  
50    -9.3024819999999997E-01  3.000000E+00  
51    -9.3024819999999997E-01  3.000000E+00  
52    -9.3024819999999997E-01  3.000000E+00  
