site,firstYear,lastYear,source,lat,lon
AR-SLu,2010,2010,FLUXNET2015,-66.4598,-33.4648
AT-Neu,2002,2012,FLUXNET2015,11.3175,47.11667
AU-ASM,2011,2017,OzFlux,133.249,-22.283
AU-Cow,2010,2015,OzFlux,145.42715,-16.23819
AU-Cpr,2011,2017,OzFlux,140.58913,-34.00206
AU-Ctr,2010,2017,OzFlux,145.44685,-16.10328
AU-Cum,2013,2018,OzFlux,150.72247,-33.613297
AU-DaP,2009,2012,OzFlux,131.3181,-14.0633
AU-DaS,2010,2017,OzFlux,131.388,-14.159283
AU-Dry,2011,2015,OzFlux,132.3706,-15.2588
AU-Emr,2012,2013,OzFlux,148.4746,-23.8587
AU-Gin,2012,2017,OzFlux,115.65,-31.375
AU-GWW,2013,2017,OzFlux,120.6541,-30.1913
AU-How,2003,2017,OzFlux,131.15,-12.4952
AU-Lit,2016,2017,OzFlux,130.7945,-13.17904
AU-Otw,2009,2010,OzFlux,142.8168,-38.53234
AU-Rig,2011,2016,OzFlux,145.5759,-36.6499
AU-Rob,2014,2017,OzFlux,145.6301,-17.1175
AU-Sam,2011,2017,OzFlux,152.8778,-27.3881
AU-Stp,2010,2017,OzFlux,133.3502,-17.1507
AU-TTE,2013,2017,OzFlux,133.64,-22.287
AU-Tum,2002,2017,OzFlux,148.1517,-35.6566
AU-Whr,2015,2016,OzFlux,145.0294,-36.6732
AU-Wrr,2016,2017,OzFlux,146.6545,-43.09502
AU-Ync,2011,2017,OzFlux,146.2907,-34.9893
BE-Bra,2004,2014,FLUXNET2015,4.52056,51.309166
BE-Lon,2005,2014,FLUXNET2015,4.74613,50.55159
BE-Vie,1997,2014,FLUXNET2015,5.99805,50.30507
BR-Sa3,2001,2003,FLUXNET2015,-54.971436,-3.0180292
BW-Ma1,2000,2000,LaThuile,23.56033,-19.9165
CA-NS1,2003,2003,FLUXNET2015,-98.4839,55.8792
CA-NS2,2002,2004,FLUXNET2015,-98.5247,55.9058
CA-NS4,2003,2004,FLUXNET2015,-98.3806,55.9144
CA-NS5,2003,2004,FLUXNET2015,-98.485,55.8631
CA-NS6,2002,2004,FLUXNET2015,-98.9644,55.9167
CA-NS7,2003,2004,FLUXNET2015,-99.9483,56.6358
